;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
sub-0211;0,169778094;0,269490421;0,235430449;0,383007437;0,185734898;0,498581856;0,728553057;0,700389683;0,331380218;0,525372028;0,182347581;0,617078006;0,336458802;0,521323085;0,312436193;0,478128999;0,541930735;0,289437622;0,539320588;0,642870009;0,55243212
sub-0212;0,707210898;0,781212211;0,254695982;0,232770175;0,398865223;0,561682761;0,672257245;0,570583642;0,40894565;0,473807812;0,645676374;0,414424807;0,219174176;0,566534162;0,432758391;0,425234437;0,459605008;0,345465928;0,266161859;0,39135167;0,618354321
sub-0213;0,432705611;0,667693317;0,573482633;0,418414235;0,665169895;0,518894672;0,551612616;0,702553153;0,506521881;0,658849299;0,761984348;0,771078229;0,497891873;0,765278459;0,683447421;0,507004082;0,696856141;0,707438767;0,620264888;0,698194861;0,80681777
sub-0214;0,913937211;0,924828649;0,903078556;0,265210927;0,908266366;0,775995314;0,918108582;0,938680351;0,237400606;0,904227793;0,751996636;0,908401489;0,139572591;0,909330368;0,6886639;0,298062682;0,904726624;0,756696463;0,286677331;0,600627899;0,831146777
sub-0215;0,813661516;0,80287385;0,738699079;0,298753202;0,481403738;0,261762828;0,68223834;0,709908664;0,161227286;0,277804106;0,018806245;0,74492085;0,481282383;0,738151908;0,518604636;0,496608913;0,615371406;0,434779137;0,593993187;0,693288207;0,784223855
sub-0217;0,498335361;0,605187595;0,518815398;0,095758237;0,307360053;0,333980352;0,728448927;0,812231719;0,332176834;0,44979769;0,37069881;0,66977185;0,201220825;0,586636901;0,271468222;0,221513614;0,488864422;0,373765409;0,26861468;0,452100217;0,507454515
sub-0218;0,498103559;0,494163513;0,480886757;0,047289107;0,43836394;0,454668105;0,642714798;0,726013243;-0,02119419;0,650191724;0,409113079;0,797972381;0,032114286;0,795620143;0,129482895;0,07150767;0,795292675;0,19893232;0,093643859;0,236483559;0,264660805
sub-0219;0,405024976;0,547438681;0,308338642;0,152316689;0,523414254;0,543905675;0,426001072;0,675329387;0,217973411;0,345524877;0,305236161;0,580709875;0,071787991;0,731089532;0,179404005;0,124483965;0,45783639;0,115858555;0,096211918;0,340396971;0,477780491
sub-0221;0,456102729;0,37212193;0,391531855;0,255909055;0,198972315;0,3666071;0,473122954;0,772567332;0,248675331;0,469047576;0,144354224;0,658156276;0,25588432;0,677153051;-0,023561887;0,220653504;0,583943367;0,002386935;0,227825642;0,374045491;0,196577027
sub-0222;0,693202913;0,646562815;0,627608716;-0,139589623;0,686265826;0,65511167;0,709341526;0,802800953;-0,291695327;0,705865383;0,672210634;0,762757361;-0,207980514;0,771524191;0,637480617;-0,328317404;0,70542419;0,667737305;-0,192159772;-0,117428452;0,775669932
sub-0223;0,553829193;0,638496816;0,576722205;0,43230477;0,431457788;0,512301803;0,561839759;0,654630363;0,557021916;0,590458751;0,614294529;0,465351909;0,485084534;0,660409033;0,427990466;0,34300819;0,440329462;0,311481535;0,564277709;0,658076704;0,569294095
sub-0224;-0,016736614;0,255987316;-0,276111454;-0,086416319;0,061222706;-0,22646445;0,383310676;0,649520338;0,553439379;0,529827893;0,410820991;0,312425345;-0,002545229;0,598762989;0,055397172;0,509166539;0,589575827;0,454928905;0,401909202;0,508383095;0,540445268
sub-0225;0,712471247;0,826420248;0,679311156;0,508705854;0,370083749;0,14125444;0,820663512;0,842721045;0,470248699;0,426071554;0,185548693;0,799172997;0,590575457;0,630883515;0,320206106;0,544731021;0,562328756;0,231640071;0,543018639;0,501075387;0,618218124
sub-0226;0,470177054;0,646694839;0,479517549;0,242921144;0,590762436;0,549626946;0,427223057;0,717468619;0,365343153;0,454172492;0,464588076;0,455025464;0,147931665;0,785642445;0,392457455;0,389074326;0,543147862;0,621429026;0,10084983;0,668328345;0,433937132
sub-0227;0,496171147;0,848429322;0,292798251;0,420206845;0,303890467;0,587978423;0,560095787;0,287220925;0,716836691;0,4768143;0,71161741;0,364569187;0,459290445;0,512245417;0,680227458;-0,01581217;0,475260943;0,380421579;0,241739139;0,58203125;0,688024163
sub-0228;0,522052824;0,62053901;0,661368251;0,249054104;0,449170113;0,342303455;0,714046776;0,848545134;0,619076669;0,725579798;0,732687831;0,730586886;0,571103752;0,696757436;0,633121312;0,572280288;0,750194192;0,664857566;0,605825961;0,689724386;0,828622043
sub-0229;0,588310659;0,707486153;0,643214107;0,180413648;0,542461991;0,516551435;0,816897511;0,774627328;0,409948438;0,56130445;0,372921765;0,745782495;0,397862703;0,691815436;0,533451974;0,262085527;0,583857894;0,345319808;0,260724753;0,456654698;0,435464263
sub-0230;0,446154565;0,631368339;0,517671943;0,472512901;0,53782171;0,502153873;0,799256861;0,823237777;0,637789965;0,552638829;0,627311885;0,755964994;0,563309848;0,804977417;0,579996824;0,488656133;0,526966572;0,609191597;0,505382419;0,700538874;0,606476068
sub-0231;0,536210597;0,335756242;0,292079449;0,413951069;0,452095181;0,470409811;0,479539037;0,607683301;0,477097481;0,590768814;0,507504225;0,601932168;0,371448666;0,670800865;0,291858345;0,332596719;0,608635902;0,382324547;0,605539143;0,67298317;0,609937012
sub-0232;0,795514166;0,858559072;0,706629276;0,787258983;0,704579115;0,822405219;0,885986388;0,887977719;0,811295092;0,796191573;0,856324255;0,789142787;0,790683746;0,852417052;0,838033855;0,726692855;0,834886193;0,867832422;0,69610846;0,807083666;0,854181647
sub-0233;0,613690913;0,556387544;0,398011714;0,068591468;0,528389633;0,369811088;0,501115263;0,564250946;0,170915022;0,474365383;0,314375371;0,620675623;0,082332514;0,75878191;0,168538764;0,186241612;0,686784983;-0,077779621;0,183921561;0,254279226;0,291478574
